SecureTV OMS (Version 3.5.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,channel_number,channel_name,rating,ecm_id,service_id,tsid,nit,access_criteria,ala_carte,is_active,output_url,output_port,input_url,input_port,format,category,call_letters,logo_clipart,channel_text,ala_carte_price,broadcaster_id,created_at,updated_at,epg_id,deleted_at,module_id,output_video_url,profile_file,language
62,58,BTVi,G,0,,,1,,,1,192.168.150.225,19201,231.40.41.24,1111,SD,News,58,http://auth.jprdigitalott.com/logos/AlJazeera.jpg,BTVi,0,,1/15/2020 1:34,2/6/2020 12:13,blank,,N1,http://jprdigitalott.com/media/AlJazeera.mpd,SD1-1.8m-150k-200k,
63,61,CNN News 18,G,0,,,1,,,1,192.168.150.225,19501,231.51.35.10,1111,SD,News,61,http://auth.jprdigitalott.com/logos/CNNNews18.jpg,CNN News 18,0,,1/15/2020 1:34,2/6/2020 12:13,CNN News 18,,M6,http://jprdigitalott.com/media/CNNNews18.mpd,SD1-1.8m-150k-200k,
64,62,B4U Music,G,0,,,1,,,1,192.168.150.225,19701,231.51.13.8,1111,SD,Music,62,http://auth.jprdigitalott.com/logos/B4UMusic.jpg,B4U Music,0,,1/15/2020 1:34,2/6/2020 12:13,B4U Music,,N1,http://jprdigitalott.com/media/B4UMusic.mpd,SD1-1.8m-150k-200k,
65,63,Zee Bollywood,G,0,,,1,,,1,192.168.150.225,20301,231.51.3.9,1111,SD,Hindi Movies,63,http://auth.jprdigitalott.com/logos/ZeeBollywood.jpeg,Zee Bollywood,0,,1/15/2020 1:34,2/6/2020 12:13,Zee ETC Bollywood,,N1,http://jprdigitalott.com/media/DisneyXD.mpd,SD1-1.8m-150k-200k,
66,64,F TV,G,0,,,1,,,1,192.168.150.225,20401,235.10.10.161,1111,SD,Infotainment,64,http://auth.jprdigitalott.com/logos/FTV.jpg,F TV,0,,1/15/2020 1:34,2/6/2020 12:13,F TV,,S1,http://jprdigitalott.com/media/FTV.mpd,SD1-1.8m-150k-200k,
67,65,Al Jazeera,,0,,,1,,,0,,,,,SD,,65,,Al Jazeera,0,,1/15/2020 1:34,1/15/2020 1:34,0,,N1,,SD1-1.8m-150k-200k,
68,66,India TV,G,0,,,1,,,1,192.168.150.225,20601,231.51.14.6,1111,SD,News,66,http://auth.jprdigitalott.com/logos/IndiaTV.jpg,India TV,0,,1/15/2020 1:34,2/6/2020 12:13,INDIA TV,,M6,http://jprdigitalott.com/media/IndiaTV.mpd,SD1-1.8m-150k-200k,
69,67,JPR CHANNEL,G,0,,,1,,,1,192.168.150.225,20701,225.1.1.2,1111,SD,Hindi Movies,67,http://auth.jprdigitalott.com/logos/JPRChannel.jpg,JPR CHANNEL,0,,1/15/2020 1:34,2/6/2020 12:13,blank,,N1,http://jprdigitalott.com/media/JPRChannel.mpd,SD1-1.8m-150k-200k,
70,68,JPR Garja,G,0,,,1,,,1,192.168.150.225,20801,236.50.60.39,1111,SD,Movies,68,http://auth.jprdigitalott.com/logos/JPRGarja.jpg,JPR Garja,0,,1/15/2020 1:34,2/6/2020 12:13,blank,,N1,http://jprdigitalott.com/media/JPRGarja.mpd,SD1-1.8m-150k-200k,
71,69,JPR Marathi,G,0,,,1,,,1,192.168.150.225,21101,236.50.60.39,1111,SD,Marathi,69,http://auth.jprdigitalott.com/logos/JPRMarathi.jpg,JPR Marathi,0,,1/15/2020 1:34,2/6/2020 12:13,blank,,S1,http://jprdigitalott.com/media/JPRMarathi.mpd,SD1-1.8m-150k-200k,
72,70,JPR TAMIL,G,0,,,1,,,1,192.168.150.225,21201,231.40.41.10,1111,SD,Tamil,70,http://auth.jprdigitalott.com/logos/JPRTamil.jpg,JPR TAMIL,0,,1/15/2020 1:34,2/6/2020 12:13,blank,,N1,http://jprdigitalott.com/media/JPRTamil.mpd,SD1-1.8m-150k-200k,
73,72,MIRROR NOW,G,0,,,1,,,1,192.168.150.225,21601,231.51.43.13,1111,SD,English Movies,72,http://auth.jprdigitalott.com/logos/MirrorNow.jpg,MIRROR NOW,0,,1/15/2020 1:34,2/6/2020 12:13,Mirror Now,,M1,http://jprdigitalott.com/media/MirrorNow.mpd,SD1-1.8m-150k-200k,
74,73,ET Now,G,0,,,1,,,1,192.168.150.225,21701,231.51.7.2,1111,SD,English Movies,73,http://auth.jprdigitalott.com/logos/ETNow.jpg,ET Now,0,,1/15/2020 1:34,2/6/2020 12:13,ET Now,,N1,http://jprdigitalott.com/media/ETNow.mpd,SD1-1.8m-150k-200k,
75,74,Zee Classic,G,0,,,1,,,1,192.168.150.225,21801,231.40.41.33,1111,SD,Hindi Movies,74,http://auth.jprdigitalott.com/logos/ZeeBollywood.jpeg,Zee Classic,0,,1/15/2020 1:34,2/6/2020 12:13,Zee Classic,,N1,http://jprdigitalott.com/media/NationalGeographic.mpd,SD1-1.8m-150k-200k,
76,71,Mastii,G,0,,,1,,,1,192.168.150.225,21501,235.10.10.98,1111,SD,Music,71,http://auth.jprdigitalott.com/logos/Masti.jpg,Mastii,0,,1/15/2020 1:34,2/6/2020 12:13,Mastiii,,S1,http://jprdigitalott.com/media/Masti.mpd,SD1-1.8m-150k-200k,
77,75,NDTV 24X7,G,0,,,1,,,1,192.168.150.225,22101,231.51.12.4,1111,SD,News,75,http://auth.jprdigitalott.com/logos/NDTV24x7.jpg,NDTV 24X7,0,,1/15/2020 1:34,2/6/2020 12:13,NDTV 24x7,,N1,http://jprdigitalott.com/media/NDTV24x7.mpd,SD1-1.8m-150k-200k,
78,76,NDTV GoodTimes,G,0,,,1,,,1,192.168.150.225,22201,231.40.41.26,1111,SD,Infotainment,76,http://auth.jprdigitalott.com/logos/NDTVGoodtimes.jpg,NDTV GoodTimes,0,,1/15/2020 1:34,2/6/2020 12:13,NDTV Good Times,,M1,http://jprdigitalott.com/media/NDTVGoodTimes.mpd,SD1-1.8m-150k-200k,
79,77,NDTV India,G,0,,,1,,,1,192.168.150.225,22301,231.51.15.3,1111,SD,News,77,http://auth.jprdigitalott.com/logos/NDTVIndia.jpg,NDTV India,0,,1/15/2020 1:34,2/6/2020 12:13,NDTV India,,N1,http://jprdigitalott.com/media/NDTVIndia.mpd,SD1-1.8m-150k-200k,
80,78,News 24,G,0,,,1,,,1,192.168.150.225,22601,235.10.10.94,1111,SD,News,78,http://auth.jprdigitalott.com/logos/NDTVIndia.jpg,News 24,0,,1/15/2020 1:34,2/6/2020 12:13,News 24,,N1,http://jprdigitalott.com/media/NDTVIndia.mpd,SD1-1.8m-150k-200k,
81,79,News India 18,G,0,,,1,,,1,192.168.150.225,22701,231.51.33.4,1111,SD,News,79,http://auth.jprdigitalott.com/logos/News18India.jpg,News India 18,0,,1/15/2020 1:34,2/6/2020 12:13,News 18 india,,S1,http://jprdigitalott.com/media/News18India.mpd,SD1-1.8m-150k-200k,
